3.535731291278803035e-01 1.000000000000000000e+00 1.000000000000000000e+00
1.262055726305974872e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.463222759933160546e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.355118304287430533e+02 2.000000000000000000e+00 1.000000000000000000e+00
4.107853006973638799e+02 1.000000000000000000e+00 1.000000000000000000e+00
4.822150806094305722e+02 2.000000000000000000e+00 1.000000000000000000e+00
5.600116896193372895e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.425867200128477634e+02 3.000000000000000000e+00 1.000000000000000000e+00
7.094910065716882173e+02 1.000000000000000000e+00 1.000000000000000000e+00
7.800458471579729576e+02 1.000000000000000000e+00 1.000000000000000000e+00
